,city,latitude,longitude,name,rank,rating,review_count
0,Miami,25.6989235,-80.3823149,siam-bistro-miami,0,4.0,181
1,Pinecrest,25.6825858416345,-80.313448251136,miss-saigon-bistro-pinecrest,1,4.0,307
2,Coral Gables,25.7512718439102,-80.2576891332865,miss-saigon-bistro-coral-gables,2,3.5,184
3,Palmetto Bay,25.6202555010309,-80.347032174468,pho-thang-restaurant-palmetto-bay,3,3.5,224
4,North Miami Beach,25.93248,-80.15386,phomi2go-north-miami-beach-2,4,4.5,247
