,city,latitude,longitude,name,rank,rating,review_count
0,Detroit,42.3444318,-83.0560773,pho-lucky-detroit-detroit,0,4.0,137
1,Detroit,42.3188863,-83.0743996,johnny-noodle-king-detroit,1,4.0,464
2,Madison Heights,42.5190025,-83.106191,que-huong-restaurant-madison-heights,2,4.0,313
3,Redford Charter Township,42.3571587,-83.2733994,pho-lucky-redford-charter-township-2,3,4.5,178
4,Windsor,42.31217,-83.04283,pho-nguyen-hoang-windsor,4,4.5,44
